date,day,time,stadium,home,away,cancelled,reason,note,stadium_id
2021-04-13,화,18:30,잠실,7두산,KT8,False,정상진행,-,
2021-04-14,수,18:30,잠실,3두산,KT1,False,정상진행,-,
2021-04-15,목,18:30,잠실,3두산,KT8,False,정상진행,-,
2021-04-16,금,18:30,잠실,1LG,두산0,False,정상진행,-,
2021-04-18,일,14:00,잠실,1LG,두산9,False,정상진행,-,
2021-04-27,화,18:30,잠실,4LG,롯데0,False,정상진행,-,
2021-04-28,수,18:30,잠실,0LG,롯데3,False,정상진행,-,
2021-04-29,목,18:30,잠실,3LG,롯데2,False,정상진행,-,
2021-04-30,금,18:30,잠실,9두산,SSG4,False,정상진행,-,
2021-05-01,토,17:00,잠실,2두산,SSG5,False,정상진행,-,
2021-05-02,일,14:00,잠실,8두산,SSG5,False,정상진행,-,
2021-05-07,금,18:30,잠실,LG,한화,True,기타취소,미세먼지취소,
2021-05-08,토,14:00,잠실,LG,한화,True,기타취소,미세먼지취소,
2021-05-14,금,18:30,잠실,4LG,삼성3,False,정상진행,-,
2021-05-17,월,18:30,잠실,1LG,삼성3,False,정상진행,-,
2021-05-25,화,18:30,잠실,두산,한화,False,정상진행,기타,
2021-05-26,수,18:30,잠실,9두산,한화3,False,정상진행,-,
2021-05-27,목,18:30,잠실,0두산,한화3,False,정상진행,-,
2021-06-04,금,18:30,잠실,3두산,SSG2,False,정상진행,-,
2021-06-05,토,17:00,잠실,8두산,SSG5,False,정상진행,-,
2021-06-06,일,17:00,잠실,1두산,SSG4,False,정상진행,-,
2021-06-11,금,18:30,잠실,3LG,두산1,False,정상진행,-,
2021-06-22,화,18:30,잠실,10두산,키움3,False,정상진행,-,
2021-06-23,수,18:30,잠실,3두산,키움4,False,정상진행,-,
2021-06-24,목,18:30,잠실,1두산,키움2,False,정상진행,-,
2021-06-30,수,15:00,잠실,LG,KT,True,우천취소,우천취소,
2021-07-02,금,18:30,잠실,3LG,한화5,False,정상진행,-,
2021-07-03,토,18:00,잠실,LG,한화,True,우천취소,우천취소,
2021-07-04,일,17:00,잠실,5LG,한화0,False,정상진행,-,
2021-07-05,월,18:30,잠실,7LG,한화6,False,정상진행,-,
2021-07-09,금,18:30,잠실,두산,LG,False,정상진행,기타,
2021-07-10,토,18:00,잠실,두산,LG,False,정상진행,기타,
2021-07-11,일,17:00,잠실,두산,LG,False,정상진행,기타,
2021-07-13,화,18:30,잠실,LG,키움,False,정상진행,기타,
2021-07-14,수,18:30,잠실,LG,키움,False,정상진행,기타,
2021-07-15,목,18:30,잠실,LG,키움,False,정상진행,기타,
2021-08-10,화,18:30,잠실,4LG,SSG0,False,정상진행,-,
2021-08-11,수,18:30,잠실,12LG,SSG5,False,정상진행,-,
2021-08-12,목,18:30,잠실,LG,SSG,True,우천취소,우천취소,
2021-08-20,금,18:30,잠실,9두산,한화1,False,정상진행,-,
2021-08-21,토,18:00,잠실,1두산,한화3,False,정상진행,-,
2021-08-22,일,17:00,잠실,3두산,한화11,False,정상진행,-,
2021-08-23,월,18:30,잠실,두산,한화,True,우천취소,우천취소,
2021-08-24,화,18:30,잠실,11두산,한화8,False,정상진행,-,
2021-08-25,수,18:30,잠실,3LG,삼성3,False,정상진행,-,
2021-08-27,금,18:30,잠실,3LG,삼성1,False,정상진행,-,
2021-09-01,수,15:00,잠실,5두산,KIA0,False,정상진행,-,
2021-09-02,목,18:30,잠실,5LG,NC0,False,정상진행,-,
2021-09-07,화,18:30,잠실,두산,키움,True,우천취소,우천취소,
2021-09-08,수,18:30,잠실,7두산,키움1,False,정상진행,-,
2021-09-09,목,18:30,잠실,8LG,한화1,False,정상진행,-,
2021-09-10,금,18:30,잠실,2LG,한화0,False,정상진행,-,
2021-09-14,화,18:30,잠실,3두산,KT4,False,정상진행,-,
2021-09-16,목,18:30,잠실,3두산,SSG3,False,정상진행,-,
2021-09-23,목,18:30,잠실,4LG,삼성7,False,정상진행,-,
2021-09-25,토,17:00,잠실,1두산,한화5,False,정상진행,-,
2021-09-26,일,14:00,잠실,5두산,한화3,False,정상진행,-,
2021-09-30,목,18:30,잠실,12LG,두산4,False,정상진행,-,
2021-10-02,토,17:00,잠실,6두산,삼성0,False,정상진행,-,
2021-10-03,일,14:00,잠실,9두산,삼성13,False,정상진행,-,
2021-10-06,수,15:00,잠실,4LG,SSG1,False,정상진행,-,
2021-10-10,일,14:00,잠실,LG,KT,True,우천취소,우천취소,
2021-10-11,월,14:00,잠실,2LG,KT4,False,정상진행,-,
2021-10-12,화,18:30,잠실,4두산,KT1,False,정상진행,-,
2021-10-13,수,18:30,잠실,5두산,KT3,False,정상진행,-,
2021-10-14,목,18:30,잠실,2두산,KT6,False,정상진행,-,
2021-10-15,금,18:30,잠실,0두산,NC5,False,정상진행,-,
2021-10-19,화,18:30,잠실,4LG,키움5,False,정상진행,-,
2021-10-20,수,18:30,잠실,5LG,키움6,False,정상진행,-,
2021-10-21,목,18:30,잠실,5LG,키움5,False,정상진행,-,
2022-04-02,토,14:00,잠실,6두산,한화4,False,정상진행,-,
2022-04-03,일,14:00,잠실,1두산,한화0,False,정상진행,-,
2022-04-05,화,18:30,잠실,5두산,삼성6,False,정상진행,-,
2022-04-06,수,18:30,잠실,1두산,삼성7,False,정상진행,-,
2022-04-07,목,18:30,잠실,6두산,삼성5,False,정상진행,-,
2022-04-12,화,18:30,잠실,1LG,SSG4,False,정상진행,-,
2022-04-13,수,18:30,잠실,2LG,SSG4,False,정상진행,-,
2022-04-14,목,18:30,잠실,5LG,SSG1,False,정상진행,-,
2022-04-19,화,18:30,잠실,0LG,KT5,False,정상진행,-,
2022-04-20,수,18:30,잠실,3LG,KT5,False,정상진행,-,
2022-04-21,목,18:30,잠실,2LG,KT6,False,정상진행,-,
2022-04-29,금,18:30,잠실,4LG,롯데9,False,정상진행,-,
2022-05-01,일,14:00,잠실,0LG,롯데4,False,정상진행,-,
2022-05-03,화,18:30,잠실,4LG,두산3,False,정상진행,-,
2022-05-04,수,18:30,잠실,2LG,두산5,False,정상진행,-,
